holding_date,stock_code,stock_name,participant_id,shareholding
2026-03-26,00002,CLP HOLDINGS LIMITED,B01610,1390923
2026-03-26,00002,CLP HOLDINGS LIMITED,B01272,1311002
2026-03-26,00002,CLP HOLDINGS LIMITED,B01826,1186000
2026-03-26,00002,CLP HOLDINGS LIMITED,B01842,1161060
2026-03-26,00002,CLP HOLDINGS LIMITED,B01787,985561
2026-03-26,00002,CLP HOLDINGS LIMITED,B01119,959182
2026-03-26,00002,CLP HOLDINGS LIMITED,B01623,883316
2026-03-26,00002,CLP HOLDINGS LIMITED,B01169,736923
2026-03-26,00002,CLP HOLDINGS LIMITED,B01148,733608
2026-03-26,00002,CLP HOLDINGS LIMITED,B01228,692742
2026-03-26,00002,CLP HOLDINGS LIMITED,B01129,660832
2026-03-26,00002,CLP HOLDINGS LIMITED,B01423,646246
2026-03-26,00002,CLP HOLDINGS LIMITED,B01930,552000
2026-03-26,00002,CLP HOLDINGS LIMITED,B01497,550630
2026-03-26,00002,CLP HOLDINGS LIMITED,B01143,521776
2026-03-26,00002,CLP HOLDINGS LIMITED,B01574,515520
2026-03-26,00002,CLP HOLDINGS LIMITED,B01904,507914
2026-03-26,00002,CLP HOLDINGS LIMITED,B01676,485886
2026-03-26,00002,CLP HOLDINGS LIMITED,B01275,482066
2026-03-26,00002,CLP HOLDINGS LIMITED,B01649,457128
2026-03-26,00002,CLP HOLDINGS LIMITED,B01556,445940
2026-03-26,00002,CLP HOLDINGS LIMITED,B01265,444800
2026-03-26,00002,CLP HOLDINGS LIMITED,B01929,435487
2026-03-26,00002,CLP HOLDINGS LIMITED,B01115,433658
2026-03-26,00002,CLP HOLDINGS LIMITED,B01224,420832
2026-03-26,00002,CLP HOLDINGS LIMITED,B01459,382700
2026-03-26,00002,CLP HOLDINGS LIMITED,B01450,373786
2026-03-26,00002,CLP HOLDINGS LIMITED,B01264,361623
2026-03-26,00002,CLP HOLDINGS LIMITED,B01413,345831
2026-03-26,00002,CLP HOLDINGS LIMITED,B01425,341816
2026-03-26,00002,CLP HOLDINGS LIMITED,B01673,338223
2026-03-26,00002,CLP HOLDINGS LIMITED,B01289,317675
2026-03-26,00002,CLP HOLDINGS LIMITED,B01565,312990
2026-03-26,00002,CLP HOLDINGS LIMITED,B01759,281949
2026-03-26,00002,CLP HOLDINGS LIMITED,B01123,275621
2026-03-26,00002,CLP HOLDINGS LIMITED,B01324,270100
2026-03-26,00002,CLP HOLDINGS LIMITED,B02132,248018
2026-03-26,00002,CLP HOLDINGS LIMITED,B01338,246183
2026-03-26,00002,CLP HOLDINGS LIMITED,B01939,243500
2026-03-26,00002,CLP HOLDINGS LIMITED,B01248,239800
2026-03-26,00002,CLP HOLDINGS LIMITED,B01271,232190
2026-03-26,00002,CLP HOLDINGS LIMITED,B01298,227000
2026-03-26,00002,CLP HOLDINGS LIMITED,B01724,219308
2026-03-26,00002,CLP HOLDINGS LIMITED,B01184,209020
2026-03-26,00002,CLP HOLDINGS LIMITED,B01483,206700
2026-03-26,00002,CLP HOLDINGS LIMITED,B01940,204486
2026-03-26,00002,CLP HOLDINGS LIMITED,B01267,202090
2026-03-26,00002,CLP HOLDINGS LIMITED,B01564,194780
2026-03-26,00002,CLP HOLDINGS LIMITED,B01941,191500
2026-03-26,00002,CLP HOLDINGS LIMITED,B01350,191343
2026-03-26,00002,CLP HOLDINGS LIMITED,B01198,185479
2026-03-26,00002,CLP HOLDINGS LIMITED,B01829,185389
2026-03-26,00002,CLP HOLDINGS LIMITED,B01209,182852
2026-03-26,00002,CLP HOLDINGS LIMITED,B01356,182340
2026-03-26,00002,CLP HOLDINGS LIMITED,B01546,179800
2026-03-26,00002,CLP HOLDINGS LIMITED,B01813,175191
2026-03-26,00002,CLP HOLDINGS LIMITED,B01897,166100
2026-03-26,00002,CLP HOLDINGS LIMITED,B01494,162284
2026-03-26,00002,CLP HOLDINGS LIMITED,B01230,159500
2026-03-26,00002,CLP HOLDINGS LIMITED,B01540,159016
